Name,Polygon_Unit_ID,Sampling_Unit,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Lat,Long,Date,Time,Scale,source,photo,brightness
DTR_25_X3545_Y96,DTR_25,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.467474,-119.64252,2011_07_1760,2143,7_5m,AVIRIS_r22,na,1111.17
DTR_22_X3568_Y71,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.46911,-119.64057,2011_07_1527,2143,7_5m,AVIRIS_r22,na,1114.84
DTR_21_X3543_Y22,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472475,-119.64248,2011_07_265,2143,7_5m,AVIRIS_r22,na,1117.01
DTR_15_X4049_Y120,DTR_15,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.464717,-119.6015,2011_07_4302,2143,7_5m,AVIRIS_r22,na,1117.44
DTR_24_X3542_Y82,DTR_24,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.468426,-119.64272,2011_07_1987,2143,7_5m,AVIRIS_r22,na,1118.74
DTR_26_X3638_Y129,DTR_26,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.465037,-119.63502,2011_07_2658,2143,7_5m,AVIRIS_r22,na,1118.92
DTR_22_X3569_Y60,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469851,-119.64046,2011_07_1386,2143,7_5m,AVIRIS_r22,na,1120.14
DTR_28_X3605_Y42,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462971,-119.63609,2011_07_19,2130,7_5m,AVIRIS_r21,na,1121.46
DTR_28_X3605_Y43,DTR_28,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.462903,-119.63609,2011_07_19,2130,7_5m,AVIRIS_r21,na,1121.85
DTR_23_X3518_Y64,DTR_23,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469695,-119.64463,2011_07_1588,2143,7_5m,AVIRIS_r22,na,1126.21
DTR_21_X3554_Y24,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472315,-119.64159,2011_07_303,2143,7_5m,AVIRIS_r22,na,1132.71
DTR_22_X3565_Y63,DTR_22,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.469657,-119.6408,2011_07_1431,2143,7_5m,AVIRIS_r22,na,1137.88
DTR_21_X3542_Y22,DTR_21,polygon,pervious,GV,shrub,evergreen,needleleaf,ENS,ADFA,34.472477,-119.64256,2011_07_264,2143,7_5m,AVIRIS_r22,na,1138.22
